,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,0.012753795603897576,0.011594247039075871,0.00672017335146159,0.010229654482181199,0.015347836539149284,0.029503738953093134,0.16877820410724198,6.96126866796565,0.902851973478584,1.9542908668518066,19.008848428726196
10,0.018256638934749065,0.0177900368552453,0.007135573259253092,0.012212126733130687,0.01746038720011711,0.045547246770904146,0.2858804507830787,7.236581026382526,0.9183120720321349,1.9542908668518066,19.008848428726196
20,0.027056831235077114,0.026890321352279246,0.0076689884157032425,0.014957355212964017,0.019137181341648102,0.0698844323589395,0.4424334564058013,7.540240198346106,0.9332334297152877,1.9542908668518066,19.008848428726196
100,0.057749483931133605,0.05773688969022328,0.008427323162418402,0.022370615304811433,0.021061867475509644,0.15227736233854522,0.7814377760081083,8.318734310192564,0.9633957227750585,1.9542908668518066,19.008848428726196
